Location,Carpet Area,Transaction,Furnishing,Bathroom,Balcony,BHK,FlatFloor,TotalFloors,ParkingNumbers,Parking Type,SalePrice(in Crores),state
Thane,500.0,Resale,Unfurnished,1.0,2.0,1.0,10.0,11.0,0,Not Available,0.42,Maharashtra
Thane,473.0,Resale,Semi-Furnished,2.0,0.0,2.0,3.0,22.0,1,Open,0.98,Maharashtra
Thane,779.0,Resale,Unfurnished,2.0,0.0,2.0,10.0,29.0,1,Covered,1.4,Maharashtra
Thane,1319.7980741426175,New Property,Unfurnished,3.0,0.0,3.0,10.0,25.0,0,Not Available,3.1,Maharashtra
Thane,530.0,Resale,Semi-Furnished,2.0,0.0,2.0,13.0,26.0,1,Covered,0.95,Maharashtra
Thane,290.0,Resale,Semi-Furnished,1.0,0.0,1.0,3.0,4.0,1,Open,0.38,Maharashtra
Thane,670.0,Resale,Unfurnished,2.0,1.0,2.0,5.0,8.0,1,Open,0.6,Maharashtra
Thane,700.0,Resale,Unfurnished,2.0,0.0,2.0,3.0,6.0,0,Not Available,0.68,Maharashtra
Thane,443.0,Resale,Unfurnished,2.0,3.0,1.0,1.0,4.0,0,Not Available,0.185,Maharashtra
Thane,495.0,Resale,Unfurnished,1.0,1.0,1.0,5.0,8.0,1,Open,0.3,Maharashtra
Thane,730.0,Resale,Semi-Furnished,2.0,4.0,2.0,30.0,34.0,1,Covered,1.3,Maharashtra
Navi-mumbai,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,2.0,14.0,0,Not Available,0.8,Maharashtra
Mumbai,1600.0,Resale,Unfurnished,4.0,3.0,4.0,7.0,7.0,0,Not Available,5.55,Maharashtra
Mumbai,2850.0,Resale,Unfurnished,5.0,1.0,5.0,14.0,35.0,0,Not Available,12.5,Maharashtra
Mumbai,1230.0,Resale,Semi-Furnished,4.0,0.0,4.0,29.0,36.0,2,Covered,3.0,Maharashtra
Mumbai,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,10.0,14.0,0,Not Available,6.0,Maharashtra
Ahmedabad,792.0,Resale,Unfurnished,1.0,1.0,1.0,3.0,10.0,1,Open,0.258,Gujarat
Ahmedabad,2045.0,New Property,Unfurnished,3.0,1.0,3.0,-2.0,12.0,2,Covered,1.45,Gujarat
Ahmedabad,1575.0,Resale,Furnished,3.0,1.0,3.0,11.0,11.0,2,Covered,2.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,3.0,5.0,0,Not Available,0.55,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,9.0,12.0,0,Not Available,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,2.0,5.0,7.0,0,Not Available,0.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,3.0,9.0,10.0,0,Not Available,0.88,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,1.0,1.0,5.0,5.0,1,Open,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,3.0,4.0,10.0,0,Not Available,0.9,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,6.0,6.0,0,Not Available,1.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,4.0,10.0,0,Not Available,0.93,Gujarat
Ahmedabad,1319.7980741426175,New Property,Semi-Furnished,2.0,1.0,2.0,1.0,10.0,1,Covered,0.55,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,12.0,14.0,0,Not Available,0.23,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,5.0,5.0,0,Not Available,0.85,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,5.0,5.0,0,Not Available,0.9,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,2.0,2.0,4.178516216431588,8.257887013939838,1,Covered,0.65,Gujarat
Ahmedabad,603.0,Resale,Unfurnished,1.0,1.0,1.0,5.0,7.0,1,Open,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,2.0,7.0,0,Not Available,0.28,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,7.0,7.0,0,Not Available,0.255,Gujarat
Ahmedabad,2122.0,Resale,Unfurnished,4.0,1.0,4.0,4.0,20.0,1,Covered,2.3,Gujarat
Ahmedabad,1190.0,New Property,Unfurnished,3.0,1.0,3.0,7.0,14.0,2,Covered,1.15,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,2.0,7.0,0,Not Available,0.51,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,1.0,9.0,12.0,1,Covered,0.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,1.0,2.0,1.0,5.0,1,Open,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,1.0,1.0,2.0,5.0,1,Open,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,0.0,1.0,3.0,4.0,0,Not Available,0.27,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,1.0,1.0,1.0,4.0,7.0,1,Covered,0.42,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,4.0,1.0,4.0,1.0,10.0,2,Covered,2.15,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,1.0,1.0,7.0,7.0,1,Open,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,9.0,14.0,0,Not Available,0.6,Gujarat
Ahmedabad,735.0,Resale,Furnished,2.0,1.0,2.0,14.0,14.0,0,Not Available,0.75,Gujarat
Ahmedabad,747.0,Resale,Unfurnished,1.0,1.0,1.0,1.0,7.0,1,Open,0.27,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,2.0,5.0,0,Not Available,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,0.0,1.0,1.0,4.0,0,Not Available,0.34,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,1.0,1.0,3.0,6.0,0,Not Available,0.2,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,1.0,6.0,0,Not Available,0.61,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,5.0,7.0,0,Not Available,0.48,Gujarat
Ahmedabad,630.0,Resale,Unfurnished,2.0,1.0,2.0,4.178516216431588,8.257887013939838,0,Not Available,0.26,Gujarat
Ahmedabad,3850.0,Resale,Furnished,5.0,2.0,5.0,10.0,10.0,3,Covered,5.5,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,2.0,2.0,4.0,4.0,0,Not Available,0.42,Gujarat
Ahmedabad,720.0,New Property,Unfurnished,2.0,1.0,2.0,5.0,14.0,1,Covered,0.55,Gujarat
Ahmedabad,860.0,Resale,Semi-Furnished,3.0,3.0,3.0,4.0,14.0,1,Covered,0.8,Gujarat
Ahmedabad,1550.0,Resale,Unfurnished,3.0,1.0,3.0,11.0,13.0,0,Not Available,0.76,Gujarat
Ahmedabad,1050.0,Resale,Semi-Furnished,2.0,2.0,3.0,1.0,4.0,1,Open,0.57,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,7.0,8.0,0,Not Available,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,2.0,3.0,9.0,10.0,0,Not Available,1.1,Gujarat
Ahmedabad,3700.0,Resale,Unfurnished,4.0,4.0,4.0,5.0,12.0,0,Not Available,1.71,Gujarat
Ahmedabad,1087.0,Resale,Semi-Furnished,3.0,1.0,3.0,16.0,16.0,0,Not Available,1.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,3.0,1.0,14.0,0,Not Available,0.81,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,1.0,2.0,2.0,6.0,0,Not Available,0.9,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,3.0,2.0,4.0,5.0,0,Not Available,0.35,Gujarat
Ahmedabad,1041.0,Resale,Furnished,3.0,0.0,3.0,1.0,7.0,2,Covered,1.2,Gujarat
Ahmedabad,892.0,Resale,Unfurnished,3.0,2.0,3.0,5.0,12.0,1,Open,0.58,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,2.0,4.0,0,Not Available,0.48,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,3.0,2.0,3.0,3.0,10.0,0,Not Available,0.57,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,3.0,0.0,3.0,3.0,7.0,0,Not Available,0.9,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,1.0,2.0,2.0,4.0,0,Not Available,0.34,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,2.0,3.0,1,Open,0.45,Gujarat
Ahmedabad,540.0,Resale,Unfurnished,2.0,1.0,2.0,4.0,5.0,0,Not Available,0.3,Gujarat
Ahmedabad,1150.0,Resale,Unfurnished,2.0,1.0,2.0,4.0,7.0,0,Not Available,0.42,Gujarat
Ahmedabad,670.0,Resale,Unfurnished,2.0,0.0,2.0,5.0,13.0,0,Not Available,0.5,Gujarat
Ahmedabad,857.0,Resale,Furnished,2.0,1.0,2.0,5.0,12.0,1,Covered,0.65,Gujarat
Ahmedabad,1319.7980741426175,New Property,Unfurnished,3.0,0.0,3.0,-2.0,8.0,0,Not Available,0.654,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,3.0,0.0,3.0,6.0,13.0,0,Not Available,0.68,Gujarat
Ahmedabad,618.0,Resale,Furnished,2.0,2.0,2.0,1.0,7.0,0,Not Available,0.68,Gujarat
Ahmedabad,850.0,Resale,Furnished,3.0,1.0,3.0,4.0,13.0,0,Not Available,0.77,Gujarat
Ahmedabad,1679.0,Resale,Unfurnished,4.0,1.0,4.0,9.0,21.0,1,Covered,1.44,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,1.0,1.0,2.0,4.0,4.0,1,Covered,0.65,Gujarat
Ahmedabad,1615.0,New Property,Unfurnished,4.0,2.0,4.0,4.0,14.0,2,Covered,2.2,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,2.0,4.0,1,Open,0.45,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,3.0,10.0,0,Not Available,1.2,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,0.0,1.0,1.0,4.0,0,Not Available,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,4.0,4.0,0,Not Available,0.4,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,1.0,0.0,1.0,4.0,4.0,0,Not Available,0.25,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,4.0,1.0,4.0,4.0,4.0,0,Not Available,1.7,Gujarat
Ahmedabad,708.0,Resale,Semi-Furnished,2.0,1.0,2.0,13.0,13.0,1,Covered,0.56,Gujarat
Ahmedabad,1319.7980741426175,Resale,Unfurnished,2.0,2.0,2.0,3.0,4.0,0,Not Available,0.435,Gujarat
Ahmedabad,1319.7980741426175,Resale,Semi-Furnished,2.0,0.0,2.0,4.0,4.0,0,Not Available,0.35,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,1.0,2.0,1.0,7.0,1,Covered,0.53,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,2.0,3.0,4.0,5.0,0,Not Available,1.0,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,2.0,0.0,2.0,7.0,8.0,0,Not Available,0.55,Gujarat
Ahmedabad,1262.0,Resale,Unfurnished,2.0,3.0,2.0,9.0,12.0,1,Covered,0.56,Gujarat
Ahmedabad,2010.0,Resale,Unfurnished,4.0,1.0,4.0,5.0,9.0,0,Not Available,2.09,Gujarat
Ahmedabad,1319.7980741426175,Resale,Furnished,3.0,0.0,3.0,3.0,5.0,0,Not Available,1.2,Gujarat
